Product Code (Article Number),Description (Name/Title),Package Qty,Stock Level,Price,
A0212,Chef & Sommelier Ezzo 18/10 Stainless Steel Table Knife,12.0,0,60.0,
A0214,Chef & Sommelier Ezzo 18/10 Stainless Steel Dessert Spoon,12.0,0,53.88,
A0215,Chef & Sommelier Ezzo 18/10 Stainless Steel Dessert Knife,12.0,0,58.68,
A1668,Utopia Anser 18/10 Stainless Steel Dessert Knife,12.0,0,47.88,
A2205A,Elia Virtu 18/10 Stainless Steel Dessert Spoon,12.0,0,29.17,
A6076,Elia Baguette 18/10 Stainless Steel Fish Knife,12.0,2,32.61,
AA034,Amefa Premiere Metropole 18/10 Stainless Steel Table Knife,12.0,15,25.63,
AA921,Hepp Ecco 18/10 Stainless Steel Teaspoon,12.0,0,22.32,
AB317,Utopia Verdi 18/10 Stainless Steel Table Knife,12.0,0,48.36,
AB322,Utopia Verdi 18/10 Stainless Steel Soup Spoon,12.0,0,29.88,
AB635,Signature Style 18/0 Stainless Steel Plaza Aviation Spoon,12.0,194,6.6,
AB674,Signature Style Oxford 18/10 Stainless Steel Table Fork,12.0,24,15.12,
AB688,Signature Style Nottingham 18/10 Stainless Steel Dessert Knife,12.0,108,23.88,
AB855,Abert Spa Angus 18/10 Stainless Steel Steak Knife,12.0,3,31.56,
AB954,Twentyeight Delta 18/10 Stainless Steel Dessert Fork,12.0,202,18.0,
AC9780,Spare Dough Hook for Chefmaster 5.5Ltr Mixer HEA520,1.0,3,8.59,
AC9870,3mm Grating Blade for Chefmaster Veg Prep Machine HEF606 & HEB083,1.0,6,19.0,
ACA893,Spare 250W Bulb for Chefmaster Heat Lamps HEG491 & HEG492,1.0,0,10.88,
AD441,Abert Spa Matisse 18/10 Stainless Steel Table Fork,12.0,24,22.32,
AD473,Utopia Montano 18/10 Stainless Steel Soup Spoon,12.0,0,35.16,
AD963,Churchill Studio Prints Stone Vitrified Porcelain Aquamarine Round Coupe Plate 26cm,12.0,0,102.48,
AE040,Amefa Ariane 18/0 Stainless Steel Dessert Spoon,12.0,0,21.36,
AE145,Twentyeight Phi 18/10 Stainless Steel Dessert Fork,12.0,211,17.64,
AE162,Twentyeight Sigma 18/10 Stainless Steel Table Fork,12.0,0,20.16,
AE182,Amefa Premiere Oxford 18/10 Stainless Steel Table Knife,12.0,16,26.52,
AE185,Amefa Premiere Oxford 18/10 Stainless Steel Dessert Knife,12.0,17,24.24,
AE283,Robert Welch Baguette Bright 18/10 Stainless Steel Side Knife,12.0,52,38.4,
AE554,Amefa Austin 18/0 Stainless Steel Copper Dessert Spoon,12.0,0,17.52,
AE556,Amefa Buffet 18/10 Stainless Steel Black Serving Spoon 25cm,6.0,4,68.76,
AE650,Amefa Eclat 18/10 Stainless Steel Table Fork Red,12.0,0,14.16,
A0042,Utopia Windsor 18/10 Stainless Steel Windsor Gourmet Table Spoon,12.0,0,23.4,
A1000,Arthur Price 18/10 Stainless Steel Economy Teaspoon,12.0,98,23.4,
A1575,Signature Steel Bead 18/0 Stainless Steel Steak Knife Solid Handle,12.0,12,16.2,
A1951A,Elia Sirocco 18/10 Stainless Steel Table Fork,12.0,0,65.68,
A2090,Hepp Profile 18/10 Stainless Steel Dessert Fork,12.0,0,50.88,
A2094,Hepp Profile 18/10 Stainless Steel Table Fork,12.0,0,56.52,
A2181A,Elia Glacier 18/10 Stainless Steel Table Fork,12.0,0,50.93,
A4021,Hepp Profile 18/10 Stainless Steel Dessert Knife Solid Handle,12.0,0,56.52,
A710,Contacto Dariol Mould Anodised Aluminium 5cm 60ml,1.0,0,1.51,
AA677,Elia Siena Stainless Steel Hollow Handled Cheese Knife,6.0,3,50.89,
AB365,Grunwerg Windsor 18/10 Stainless Steel Dessert Knife,12.0,0,18.96,
AB660,Signature Style Jasmine 18/10 Stainless Steel Dessert Knife,12.0,70,11.88,
AB700,Signature Style York 18/10 Stainless Steel Dessert Knife,12.0,115,3.96,
AB732,Signature Steel Harley 18/0 Stainless Steel Teaspoon,12.0,0,2.28,
AB766,Signature Style New English 18/0 Stainless Steel Table Knife,12.0,222,10.44,
AB904,Utopia Porterhouse Steak Knife,12.0,3,98.28,
AB919,Twentyeight Omega 18/10 Stainless Steel Dessert Fork,12.0,50,18.96,
AC9869,4mm Grating Blade for Chefmaster Veg Prep Machine HEF606 & HEB083,1.0,17,53.04,
AC9871,4mm Slicing Blade for Chefmaster Veg Prep Machine HEF606 & HEB083,1.0,16,37.57,
ACA410,Bradley Bisquettes - Apple - pack of 120,120.0,0,50.39,
AD103,Robert Welch Malvern Bright Stainless Steel Steak Knife,12.0,0,28.68,
AD413,Robert Welch Radford Satin 18/10 Side Knife,12.0,0,73.56,
AD457,Utopia Curve Teaspoon,12.0,0,19.68,
AD706,Signature Style Arundel 18/10 Stainless Steel Table Knife,12.0,484,16.8,
AD720,Hepp Trend 18/10 Stainless Steel Table Knife,12.0,0,41.64,
AD899,Profile Teaspoon,12.0,0,22.92,
AE077,Viners Bertie 18/10 Stainless Steel 4 Piece Kids Cutlery set Gift Box,24.0,0,43.38,
AE121,Front of the House 8.5in Drinkwise® Reusable Plastic Chopsticks,48.0,0,48.0,
A0046,Utopia Windsor 18/10 Stainless Steel Windsor Gourmet Teaspoon,12.0,51,12.12,
A1414,Sunnex Stainless Steel Steak Fork with Wooden Handle,12.0,0,15.96,
A4002,Sugar Tongs Stainless Steel 10cm,1.0,179,0.58,
A7310,Utopia Manhattan 18/0 Stainless Steel Table Knife,12.0,2288,14.87,
A9773,Utopia Manhattan 18/0 Stainless Steel Dessert Fork,12.0,29,7.49,
A9775,Utopia Manhattan 18/0 Stainless Steel Coffee Spoon,12.0,0,4.94,
AB616,Signature Style Stirling 18/0 Stainless Steel Dessert Knife,12.0,116,15.6,
AB665,Signature Style Stephanie 18/10 Stainless Steel Table Knife,12.0,0,15.48,
AB711,Signature Steel Dubarry 18/0 Stainless Steel Table Knife,12.0,113,6.48,
AB744,Signature Steel Jesmond 18/0 Stainless Steel Dessert Knife,12.0,87,5.88,
AB752,Signature Steel Bead 18/0 Stainless Steel Teaspoon,12.0,1008,2.52,
ACA432,10mm Slicing Blade for Chefmaster Veg Prep Machine HEF606 & HEB083,1.0,5,53.06,
AD446,Jean Dubost Laguiole 9in Steak Knife Stainless Steel Handle,6.0,4,53.04,
AD469,Utopia Montano 18/10 Stainless Steel Table Fork,12.0,0,41.64,
AD511,Signature Steel Rattail 18/0 Stainless Steel Dessert Knife,12.0,122,13.68,
AD529,Sola Hollands Glad 18/10 Stainless Steel Teaspoon,12.0,0,28.2,
AD719,Hepp Trend 18/10 Stainless Steel Dessert Spoon,12.0,0,27.72,
AE036,Amefa Ariane 18/0 Stainless Steel Table Fork,12.0,0,19.2,
AE039,Amefa Ariane 18/0 Stainless Steel Dessert Fork,12.0,0,18.12,
AE147,Twentyeight Phi 18/10 Stainless Steel Soup Spoon,12.0,137,17.64,
AE169,Twentyeight Sigma 18/10 Stainless Steel Coffee Spoon,12.0,301,12.0,
AE187,Amefa Premiere Oxford 18/10 Stainless Steel Dessert Spoon,12.0,0,20.28,
AE205,Amefa Moderno 18/10 Stainless Steel Dessert Knife,12.0,0,17.28,
AE263,Amefa Carlton Stainless Steel Soup Spoon,12.0,0,18.36,
AE286,Robert Welch Baguette Bright 18/10 Stainless Steel English Teaspoon,12.0,20,25.08,
AE516,Amefa Anise 18/10 Stainless Steel Dessert Knife,12.0,49,19.68,
AE527,Amefa Hammered 18/0 Stainless Steel Teaspoon,12.0,0,9.48,
AE560,Amefa Austin 18/0 Stainless Steel Table Fork Black,12.0,0,25.44,
AE672,Amefa Austin PVD 18/10 Stainless Steel PVD Black Dessert Fork,12.0,0,20.28,
AE805,Amefa Marta 18/0 Stainless Steel Table Fork,12.0,0,16.44,
AE917,Elia Siena 18/10 Stainless Steel Table Fork,12.0,0,68.67,
AE956,Elia Mirage Table Fork,12.0,0,47.95,
AF014,Elia Linear 18/10 Stainless Steel Soup Spoon,12.0,0,37.93,
AF049,Elia Lavino 18/10 Stainless Steel Coffee Spoon,12.0,0,27.47,
AF070,Elia Mystere 18/10 Stainless Steel Serving Fork,2.0,0,17.37,
AF102,Elia Tempo 18/0 Stainless Steel Table Knife,12.0,0,29.26,
B0111,Steelite Taste Vitrified Porcelain White Round Plate 25.5cm,24.0,0,132.96,
AE671,Amefa Austin PVD 18/10 Stainless Steel PVD Black Dessert Knife,12.0,0,33.6,
AE812,Amefa Felicity 18/0 Stainless Steel Black Hammered Teaspoon,12.0,0,32.88,
AE814,Amefa Felicity 18/0 Stainless Steel Champagne Hammered Teaspoon,12.0,0,18.36,
AE860,Churchill Kintsugi 18/10 Stainless Steel Table Fork,12.0,0,36.0,
AE861,Churchill Kintsugi 18/10 Stainless Steel Table Knife,12.0,0,43.8,
AE890,Elia Vantage 18/10 Stainless Steel Dessert Knife,12.0,0,45.92,
AE930,Elia Mystere 18/10 Stainless Steel Table Fork,12.0,0,62.12,
AE940,Elia Mystere 18/10 Stainless Steel Dessert Spoon,12.0,0,52.12,
AE977,Elia Lavino 18/10 Stainless Steel Dessert Spoon,12.0,0,44.93,
AF038,Elia Glacier 18/10 Stainless Steel Iced Teaspoon,12.0,0,35.8,
AF097,Elia Revenue 18/10 Stainless Steel Table Spoon,12.0,0,26.41,
B0110,Steelite Taste Vitrified Porcelain White Round Plate 30.5cm,12.0,0,103.92,
B0163,Steelite Simplicity Vitrified Porcelain White Quench Mug 34cl,24.0,32,94.8,
B0417,Elia Orientix Bone China White Round Ying Yang Dish 10cm,12.0,0,54.36,
B0835,Steelite Simplicity Vitrified Porcelain White Harmony Teapot 60cl,6.0,4,81.96,
B1218WH,Churchill Buckingham Vitrified Porcelain White Oval Plate 25.4cm 10 Inch,12.0,0,125.88,
B1385,Churchill White Holloware Vitrified Porcelain White Windsor Mug 28cl 9.9oz,36.0,18,87.48,
B1816,Churchill Whiteware Vitrified Porcelain Crescent Salad Plate 20.3cm,12.0,0,84.12,
B1890,Churchill Cookware Vitrified Porcelain White Round Eared Dish 21.5x17.5cm 59cl 20.8oz,6.0,3,59.1,
A1372,Arthur Price Harley Cake Server EPNS,1.0,0,12.72,
A1959A,Elia Sirocco 18/10 Stainless Steel Teaspoon,12.0,0,42.29,
A7459,Amefa Disability Cutlery 18/10 Stainless Steel Right Handed Fork,1.0,18,3.19,
AA035,Amefa Premiere Metropole 18/10 Stainless Steel Table Fork,12.0,0,25.75,
AB319,Utopia Verdi 18/10 Stainless Steel Dessert Knife,12.0,0,39.24,
AB647,Signature Style 18/0 Stainless Steel Pizza/Steak Knife,12.0,0,28.2,
AB649,Signature Style Caroline 18/10 Stainless Steel Soda Spoon,12.0,359,12.96,
AB652,Signature Style Caroline 18/10 Stainless Steel Table Spoon,12.0,41,13.44,
AB662,Signature Style Jasmine 18/10 Stainless Steel Dessert Spoon,12.0,138,12.0,
AB733,Signature Steel Harley 18/0 Stainless Steel Coffee Spoon,12.0,535,2.64,
AB735,Signature Steel Harley 18/0 Stainless Steel Dessert Knife,12.0,1386,6.24,
AB761,Signature Steel New Era 18/0 Stainless Steel Teaspoon,12.0,1216,0.96,
ACA555,Door Gasket for Arctica HEC816 & HEC817,1.0,6,12.13,
AD414,Robert Welch Radford Satin 18/10 Side Fork,12.0,0,61.08,
AD444,Abert Spa Matisse 18/10 Stainless Steel Teaspoon,12.0,31,12.12,
AD822,Artis Diva 18/10 Stainless Steel Dessert Knife,12.0,0,56.52,
AD823,Artis Diva 18/10 Stainless Steel Dessert Fork,12.0,0,48.12,
AD947,Churchill Bamboo 18/10 Stainless Steel Table Fork,12.0,0,31.44,
AD949,Churchill Bamboo 18/10 Stainless Steel Dessert Fork,12.0,0,30.0,
AD980,Churchill Cooper 18/10 Stainless Steel Cake Fork,12.0,0,21.0,
AE052,Amefa Drift 18/10 Stainless Steel Dessert Fork,12.0,6,17.88,
AE170,Twentyeight Sigma 18/10 Stainless Steel Steak Knife,12.0,290,22.8,
AE179,Amefa Opus 18/10 Stainless Steel Dessert Fork,12.0,0,32.04,
AE284,Robert Welch Baguette Bright 18/10 Stainless Steel Side Fork,12.0,16,32.76,
AE460,Churchill Trace 18/10 Stainless Steel Teaspoon,12.0,0,22.08,
AE508,D.W. Haber 18/10 Stainless Steel Hammered Slotted Serving Spoon 33cm,6.0,0,199.32,
AE652,Steelite Mescana 18/10 Stainless Steel Butter Knife,12.0,0,62.52,
AE757,Elia Miravell Stainless Steel Dessert Fork,12.0,0,31.37,
AE798,Amefa Premium 18/10 Stainless Steel Salad Serving Fork,12.0,0,28.32,
AE880,Elia 18/10 Stainless Steel Cosmo Coffee Spoon,12.0,0,21.56,
AE950,Elia Motive Table Fork,12.0,0,50.44,
AE951,Elia Lavino 18/10 Stainless Steel Table Spoon,12.0,0,49.48,
AE999,Elia Baguette 18/10 Stainless Steel Dessert Spoon,12.0,9,38.84,
AF098,Elia Revenue 18/10 Stainless Steel Table Fork,12.0,0,26.41,
B0303,Churchill Alchemy White Fine China Teapot 36oz,6.0,0,163.32,
B0320,Melamine Fluted White Ramekin 1oz,1.0,319,0.31,
B0836,Steelite Simplicity Vitrified Porcelain White Harmony Teapot 31cl,6.0,9,69.3,
B1443WH,Churchill Buckingham Vitrified Porcelain White Round Plate 16.5cm,24.0,0,80.16,
B1719,Churchill Compact Vitrified Porcelain White Compact Jug 28.4cl 10oz,4.0,0,30.36,
B1818,Churchill Whiteware Vitrified Porcelain Round Butter Dish 10cm,24.0,9,39.36,
B1850,Churchill Café Vitrified Porcelain White Round Cappuccino Saucer 15.6cm,24.0,6,50.16,
B1856,Churchill Snack Attack Vitrified Porcelain White Round Dipper Pot/Butter Pad 4.5cl 1.6oz,24.0,0,46.32,
B1874,Churchill Beverage Collection Vitrified Porcelain White Round Large Café Saucer 16cm,24.0,0,53.04,
B1935,Churchill Ultimo Vitrified Porcelain White Cappuccino Cup 18.4cl 6.5oz,24.0,0,87.12,
B4686,Creations Square Centred Plate 25.0cm 9 3/4 inch,12.0,0,139.92,
B4953,Churchill Buffet Alchemy Fine China White Square Buffet Tray 30.3x30.3cm,4.0,7,166.12,
A0044,Utopia Windsor 18/10 Stainless Steel Windsor Gourmet Dessert Spoon,12.0,5,16.92,
A0100,Amefa Saloon 18/10 Stainless Steel Black wood Handled Steak knife,12.0,36,20.88,
